hand,first_win_day,first_win_situation,wins
AQJTp,2025-08-17,preflop,"[""AhJhQcTc"", ""TcJdAcQd"", ""QhAcJcTh"", ""QsTcJsAc""]"
AQQ5t,2025-08-17,showdown,"[""Qc5cAcQd"", ""5hQhAhQc""]"
AQQ6d,2025-08-17,preflop,"[""6sQsQcAh""]"
AQQ7d,2025-08-17,turn,"[""QdAc7hQh""]"
AQQ9t,2025-08-17,turn,"[""QsAcQc9c""]"
AQT2d,2025-08-17,river,"[""AcQh2cTs"", ""TdQh2cAc""]"
AQT4p,2025-08-17,turn,"[""QcAh4cTh""]"
AQT5d,2025-08-17,river,"[""ThQs5cAh"", ""TcAc5sQh""]"
AQT5p,2025-08-17,turn,"[""TdQcAd5c"", ""5sQcAsTc""]"
AQT8p,2025-08-17,showdown,"[""AcTcQd8d""]"
AQT9d,2025-08-17,showdown,"[""9dTcQsAc""]"
AT43p,2025-08-17,river,"[""4c3cAhTh""]"
AT44d,2025-08-17,showdown,"[""4sAsTd4h""]"
AT53d,2025-08-17,turn,"[""Td5sAh3h""]"
AT63p,2025-08-17,preflop,"[""6c3cTdAd""]"
AT64d,2025-08-17,preflop,"[""4dAhTh6s""]"
AT65d,2025-08-17,river,"[""Ah5dTc6c""]"
AT72p,2025-08-17,showdown,"[""2dTcAc7d""]"
AT76p,2025-08-17,turn,"[""AdTd7h6h""]"
AT88d,2025-08-17,showdown,"[""8hAsTs8c""]"
AT94p,2025-08-17,preflop,"[""9hTh4cAc""]"
ATT2d,2025-08-17,preflop,"[""TdTc2hAh""]"
ATT5d,2025-08-17,showdown,"[""5cAcTsTh""]"
ATT5p,2025-08-17,showdown,"[""Ah5sThTs""]"
J443d,2025-08-17,preflop,"[""Js4d3h4h""]"
J554d,2025-08-17,turn,"[""Jd4c5c5h""]"
J854d,2025-08-17,preflop,"[""5dJs4d8h""]"
J876p,2025-08-17,showdown,"[""8c7cJh6h""]"
J943p,2025-08-17,showdown,"[""4sJd3s9d""]"
JT87d,2025-08-17,river,"[""8sJsTh7d"", ""8cJsTs7d"", ""8cTsJh7c"", ""7d8hJhTs""]"
JT95m,2025-08-17,river,"[""9h5hJhTh""]"
JT96p,2025-08-17,preflop,"[""6hTd9dJh""]"
JT97d,2025-08-17,preflop,"[""Tc7hJh9s"", ""7sJcTc9d""]"
JT97p,2025-08-17,preflop,"[""Th9h7sJs""]"
JT98t,2025-08-17,showdown,"[""JsTd9s8s"", ""Td9c8dJd""]"
JTT2d,2025-08-17,preflop,"[""TsJhTd2s""]"
K764d,2025-08-17,turn,"[""7s6d4sKh""]"
KJ77p,2025-08-17,flop,"[""7sJsKc7c""]"
KJ82t,2025-08-17,preflop,"[""8d2dKdJs""]"
KJ87d,2025-08-17,showdown,"[""Kd7hJd8s""]"
KJJTd,2025-08-17,showdown,"[""JdKdTcJs""]"
KJT9d,2025-08-17,river,"[""Jh9cTsKc"", ""9hTsKsJd""]"
KK33d,2025-08-17,preflop,"[""3cKhKs3s""]"
KK43p,2025-08-17,turn,"[""4s3hKsKh""]"
KK44d,2025-08-17,showdown,"[""Kc4d4sKs""]"
KK66p,2025-08-17,flop,"[""6sKdKs6d""]"
KK74d,2025-08-17,showdown,"[""Kh4c7sKs""]"
KK87t,2025-08-17,flop,"[""KsKc7s8s""]"
KKJ3d,2025-08-17,flop,"[""3sJsKcKh""]"
KKJ6d,2025-08-17,showdown,"[""KhJs6hKc""]"
KKJ7d,2025-08-17,showdown,"[""JcKdKh7d"", ""KhJd7cKd""]"
KKQ6d,2025-08-17,preflop,"[""Kh6cQdKd""]"
KKQ9d,2025-08-17,flop,"[""Qs9sKcKh"", ""9dQhKsKh""]"
KKQJd,2025-08-17,river,"[""JhKsQhKd""]"
KKQTd,2025-08-17,river,"[""KhKsThQc"", ""KcKdQhTc""]"
KQ43p,2025-08-17,showdown,"[""3c4hQcKh""]"
KQ74d,2025-08-17,preflop,"[""4sKsQh7d""]"
KQ75r,2025-08-17,turn,"[""Kh5dQs7c""]"
KQ76p,2025-08-17,showdown,"[""6hQsKs7h""]"
KQJ7p,2025-08-17,preflop,"[""KhQd7dJh""]"
KQJ9d,2025-08-17,showdown,"[""9sJcQdKs"", ""Jd9hKsQs""]"
KQJTd,2025-08-17,showdown,"[""KdThJdQs"", ""KsQdJsTh"", ""TdKdQsJc"", ""QdJcKdTh""]"
KQT5d,2025-08-17,preflop,"[""KcQsTd5c""]"
KQTTd,2025-08-17,river,"[""TsQcKdTc"", ""TcThQcKd""]"
KQTTp,2025-08-17,turn,"[""KsThQhTs""]"
KT73d,2025-08-17,turn,"[""3cTd7sKd""]"
KT75m,2025-08-17,showdown,"[""Th5h7hKh""]"
Q443r,2025-08-17,preflop,"[""4h3d4sQc""]"
Q822d,2025-08-17,preflop,"[""Qc8c2h2s""]"
Q975d,2025-08-17,showdown,"[""9c7hQh5d""]"
QJ42t,2025-08-17,showdown,"[""Jd2sQs4s""]"
QJ96d,2025-08-17,turn,"[""9s6hJcQh""]"
QJJ9p,2025-08-17,turn,"[""JsQsJc9c""]"
QJT7p,2025-08-17,showdown,"[""JhQhTd7d""]"
QJT9d,2025-08-17,turn,"[""Jc9hTsQc"", ""QcJc9hTs"", ""Js9cThQs"", ""TcJhQs9h""]"
QQ52p,2025-08-17,showdown,"[""2sQsQc5c""]"
QT64d,2025-08-17,preflop,"[""4hQd6sTd"", ""QcTh4d6h""]"
QT87p,2025-08-17,preflop,"[""7cTd8cQd""]"
T654d,2025-08-17,showdown,"[""6d5c4hTd""]"
T752d,2025-08-17,preflop,"[""2h7dTs5h""]"
T776p,2025-08-17,flop,"[""Th7s7h6s""]"
T954p,2025-08-17,showdown,"[""5sTc9s4c""]"
T976p,2025-08-17,preflop,"[""7c9cTs6s""]"
T995d,2025-08-17,river,"[""9dTh5h9c""]"
T998t,2025-08-17,preflop,"[""9sTs9h8s""]"
TT53d,2025-08-17,showdown,"[""TsTd3d5c""]"
9552d,2025-08-18,showdown,"[""5s2d5d9h""]"
9865d,2025-08-18,showdown,"[""9s8c6s5d""]"
A554p,2025-08-18,showdown,"[""5h4sAh5s""]"
A655d,2025-08-18,flop,"[""5c5dAs6s""]"
A975p,2025-08-18,showdown,"[""7s5dAs9d"", ""5hAh9s7s""]"
AA22d,2025-08-18,showdown,"[""2dAcAh2c"", ""Ad2sAs2h""]"
AA42d,2025-08-18,flop,"[""Ah4c2dAd"", ""2dAhAd4s""]"
AA43d,2025-08-18,turn,"[""4sAdAs3h"", ""Ad3h4hAc""]"
AA53d,2025-08-18,showdown,"[""Ah5dAc3h"", ""5cAhAd3h"", ""5dAs3sAh""]"
AA72d,2025-08-18,showdown,"[""AhAc7c2d"", ""As7hAd2h""]"
AA75t,2025-08-18,flop,"[""Ah5dAd7d"", ""7dAcAd5d""]"
AAK4p,2025-08-18,preflop,"[""AsAcKc4s""]"
AAK8d,2025-08-18,flop,"[""KhAc8cAd""]"
AAQ9d,2025-08-18,showdown,"[""QcAs9hAh"", ""Qs9sAdAc""]"
AJ94p,2025-08-18,showdown,"[""9hAhJs4s""]"
AK43p,2025-08-18,showdown,"[""Kh4d3hAd""]"
