hand,first_win_day,first_win_situation,wins
AA75d,2025-08-19,turn,"[""5hAhAs7s"", ""AhAc7h5c"", ""7cAh5hAc""]"
AA85t,2025-08-19,flop,"[""As8s5sAd""]"
AA87t,2025-08-19,showdown,"[""Ad8hAh7h""]"
AA99s,2025-08-19,showdown,"[""9cAcAd9s""]"
AAJ8s,2025-08-19,flop,"[""AhAs8hJd"", ""8dAhJhAc""]"
AAJTd,2025-08-19,preflop,"[""ThJcAcAh""]"
AAK4s,2025-08-19,turn,"[""AsKd4sAh"", ""4hAcKdAd"", ""KcAd4cAs""]"
AAT6t,2025-08-19,flop,"[""6sAcTsAs"", ""6dTdAdAs""]"
AJ43d,2025-08-19,river,"[""3s4dAdJs""]"
AJ64s,2025-08-19,preflop,"[""4cJs6dAs""]"
AJT7d,2025-08-19,showdown,"[""7dAhThJd""]"
AK92d,2025-08-19,preflop,"[""9dKsAd2s""]"
AKJ4s,2025-08-19,preflop,"[""JsKdAd4h""]"
AKK9s,2025-08-19,flop,"[""9cKsAhKh""]"
AKQ2s,2025-08-19,preflop,"[""2cKhQhAd""]"
AKQ7r,2025-08-19,showdown,"[""AcQh7dKs""]"
AQ63d,2025-08-19,preflop,"[""3hQc6hAc""]"
AQ75s,2025-08-19,showdown,"[""7h5cAsQs""]"
AQJ3t,2025-08-19,showdown,"[""AhJh3hQc"", ""QcAdJd3d""]"
AQJ7d,2025-08-19,showdown,"[""AsQd7sJd""]"
AQJ8s,2025-08-19,preflop,"[""JdAd8cQh"", ""Js8hQdAd""]"
AQJTs,2025-08-19,turn,"[""AsJdQhTs""]"
AQQTd,2025-08-19,showdown,"[""QhTcAhQc""]"
AT98d,2025-08-19,preflop,"[""8c9cThAh""]"
ATT9d,2025-08-19,showdown,"[""Td9dAsTs""]"
JJ82s,2025-08-19,river,"[""8sJs2dJh""]"
JJT2s,2025-08-19,preflop,"[""JdJsTd2c"", ""2sThJcJh""]"
K866d,2025-08-19,flop,"[""8s6sKh6h""]"
K942s,2025-08-19,preflop,"[""2hKs9s4d""]"
KJ43d,2025-08-19,preflop,"[""3s4cJsKc""]"
KJ87d,2025-08-19,preflop,"[""8h7dKhJd""]"
KK96d,2025-08-19,showdown,"[""Ks9h6sKh""]"
KKJ8d,2025-08-19,showdown,"[""8hKdJdKh""]"
KKQ4t,2025-08-19,preflop,"[""KsKdQd4d""]"
